Item,Quantity,Price,TotalCost
Apple,10,1.76,17.6
Bread,4,4.71,18.84
Sugar,4,8.88,35.52
Sugar,9,5.27,47.43
Salt,6,8.11,48.66
Curd,1,6.1,6.1
Bread,9,6.33,56.97
Rice,6,4.29,25.74
Sugar,10,4.22,42.2
Bread,4,7.43,29.72
Biscuits,9,2.92,26.28
Mango,5,7.15,35.75
Salt,8,5.96,47.68
Bread,1,4.22,4.22
Milk,5,6.82,34.1
Rice,2,5.07,10.14
Sugar,2,2.81,5.62
Apple,6,1.65,9.9
Biscuits,10,1.85,18.5
Banana,8,3.51,28.08
Salt,1,5.86,5.86
Bread,8,1.29,10.32
Mango,1,9.07,9.07
Banana,1,6.42,6.42
Sugar,9,4.91,44.19
Sugar,9,8.88,79.92
Salt,6,7.53,45.18
Sugar,5,3.66,18.3
Salt,2,7.14,14.28
Milk,2,5.13,10.26
Salt,9,2.31,20.79
Curd,7,6.44,45.08
Rice,3,8.23,24.69
Mango,5,9.68,48.4
Banana,2,9.4,18.8
Apple,2,3.64,7.28
Salt,10,1.51,15.1
Biscuits,4,9.77,39.08
Curd,10,4.28,42.8
Biscuits,5,3.6,18.0
Sugar,8,7.14,57.12
Rice,8,1.98,15.84
Sugar,7,6.97,48.79
Sugar,4,2.95,11.8
Apple,9,6.58,59.22
Sugar,3,2.24,6.72
Bread,10,5.0,50.0
Salt,3,4.12,12.36
Milk,10,4.82,48.2
Bread,2,4.76,9.52
Salt,1,3.06,3.06
Rice,5,7.02,35.1
Salt,6,9.03,54.18
Mango,2,7.56,15.12
Rice,5,2.09,10.45
Salt,10,8.22,82.2
Banana,4,9.5,38.0
Milk,3,9.75,29.25
Apple,4,6.36,25.44
Rice,5,9.59,47.95
Biscuits,8,8.49,67.92
Sugar,3,9.35,28.05
Curd,7,8.18,57.26
Sugar,3,4.87,14.61
Rice,5,4.66,23.3
Bread,3,1.57,4.71
Curd,7,2.87,20.09
Banana,1,3.61,3.61
Sugar,4,3.03,12.12
Rice,5,3.46,17.3
Rice,4,8.41,33.64
Rice,10,7.61,76.1
Biscuits,1,6.07,6.07
Bread,1,6.05,6.05
Milk,8,6.93,55.44
Apple,7,7.24,50.68
Bread,10,5.04,50.4
Milk,10,9.55,95.5
Milk,6,9.16,54.96
Apple,9,3.79,34.11
Milk,8,5.7,45.6
Milk,4,2.59,10.36
Mango,10,3.79,37.9
Banana,5,3.34,16.7
Biscuits,5,8.21,41.05
Banana,2,8.55,17.1
Sugar,8,5.41,43.28
Sugar,6,8.84,53.04
Mango,4,4.79,19.16
Apple,7,4.61,32.27
Banana,6,3.84,23.04
Salt,3,8.24,24.72
Banana,9,3.24,29.16
Mango,8,5.31,42.48
Milk,7,6.61,46.27
Apple,10,3.35,33.5
Curd,4,3.56,14.24
Curd,8,9.0,72.0
Milk,5,4.41,22.05
Mango,9,6.19,55.71
